STATION,DATE,TMAX,TMIN
GHCND:USC00111550,6/4/06,74,60
GHCND:USC00111550,6/10/06,65,57
GHCND:USC00111550,6/11/06,63,52
GHCND:USC00111550,6/12/06,64,52
GHCND:USC00111550,6/13/06,68,58
GHCND:USC00111550,6/14/06,71,62
GHCND:USC00111550,6/15/06,78,64
GHCND:USC00111550,6/16/06,91,76
GHCND:USC00111550,6/17/06,92,76
GHCND:USC00111550,6/18/06,79,71
GHCND:USC00111550,6/19/06,88,72
GHCND:USC00111550,6/20/06,76,67
GHCND:USC00111550,6/21/06,89,75
GHCND:USC00111550,6/22/06,81,66
GHCND:USC00111550,6/23/06,67,63
GHCND:USC00111550,6/24/06,74,62
GHCND:USC00111550,6/25/06,71,64
GHCND:USC00111550,6/26/06,69,63
GHCND:USC00111550,6/27/06,76,66
GHCND:USC00111550,6/28/06,78,63
GHCND:USC00111550,6/29/06,75,62
GHCND:USC00111550,6/30/06,80,65
GHCND:USC00111550,7/1/06,92,71
GHCND:USC00111550,7/2/06,87,78
GHCND:USC00111550,7/3/06,82,70
GHCND:USC00111550,7/4/06,78,68
GHCND:USC00111550,7/5/06,75,66
GHCND:USC00111550,7/6/06,76,66
GHCND:USC00111550,7/7/06,80,66
GHCND:USC00111550,7/8/06,85,70
GHCND:USC00111550,7/9/06,89,73
GHCND:USC00111550,7/10/06,74,66
GHCND:USC00111550,7/11/06,77,68
GHCND:USC00111550,7/12/06,76,68
GHCND:USC00111550,7/13/06,80,69
GHCND:USC00111550,7/14/06,84,72
GHCND:USC00111550,7/15/06,92,77
GHCND:USC00111550,7/16/06,94,79
GHCND:USC00111550,7/17/06,95,76
GHCND:USC00111550,7/18/06,80,73
GHCND:USC00111550,7/19/06,85,73
GHCND:USC00111550,7/20/06,81,72
GHCND:USC00111550,7/21/06,78,69
GHCND:USC00111550,7/22/06,79,69
GHCND:USC00111550,7/23/06,80,68
GHCND:USC00111550,7/24/06,89,73
GHCND:USC00111550,7/25/06,92,77
GHCND:USC00111550,7/26/06,87,73
GHCND:USC00111550,7/27/06,84,73
GHCND:USC00111550,7/28/06,88,74
GHCND:USC00111550,7/29/06,93,78
