STATION,DATE,TMAX,TMIN
GHCND:USC00124272,1/22/75,40,21
GHCND:USC00124272,1/23/75,37,24
GHCND:USC00124272,1/24/75,41,23
GHCND:USC00124272,1/25/75,51,29
GHCND:USC00124272,1/26/75,43,28
GHCND:USC00124272,1/27/75,29,19
GHCND:USC00124272,1/28/75,38,26
GHCND:USC00124272,1/29/75,65,32
GHCND:USC00124272,1/30/75,65,29
GHCND:USC00124272,1/31/75,35,29
GHCND:USC00124272,2/1/75,37,32
GHCND:USC00124272,2/2/75,34,28
GHCND:USC00124272,2/3/75,40,27
GHCND:USC00124272,2/4/75,39,28
GHCND:USC00124272,2/5/75,39,32
GHCND:USC00124272,2/6/75,43,29
GHCND:USC00124272,2/7/75,30,10
GHCND:USC00124272,2/8/75,27,10
GHCND:USC00124272,2/9/75,28,6
GHCND:USC00124272,2/10/75,10,-3
GHCND:USC00124272,2/11/75,33,2
GHCND:USC00124272,2/12/75,37,27
GHCND:USC00124272,2/13/75,32,19
GHCND:USC00124272,2/14/75,28,18
GHCND:USC00124272,2/15/75,36,23
GHCND:USC00124272,2/16/75,51,34
GHCND:USC00124272,2/17/75,45,35
GHCND:USC00124272,2/18/75,51,34
GHCND:USC00124272,2/19/75,37,31
GHCND:USC00124272,2/20/75,33,24
GHCND:USC00124272,2/21/75,46,19
GHCND:USC00124272,2/22/75,54,30
GHCND:USC00124272,2/23/75,54,41
GHCND:USC00124272,2/24/75,55,31
GHCND:USC00124272,2/25/75,37,28
GHCND:USC00124272,2/26/75,44,32
GHCND:USC00124272,2/27/75,42,25
GHCND:USC00124272,2/28/75,40,25
GHCND:USC00124272,3/1/75,41,21
GHCND:USC00124272,3/2/75,31,17
GHCND:USC00124272,3/3/75,27,14
GHCND:USC00124272,3/4/75,33,20
GHCND:USC00124272,3/5/75,40,20
GHCND:USC00124272,3/6/75,49,17
GHCND:USC00124272,3/7/75,53,37
GHCND:USC00124272,3/8/75,52,28
GHCND:USC00124272,3/9/75,33,19
GHCND:USC00124272,3/10/75,37,19
GHCND:USC00124272,3/11/75,34,28
GHCND:USC00124272,3/12/75,47,30
GHCND:USC00124272,3/13/75,47,27
GHCND:USC00124272,3/14/75,35,21
GHCND:USC00124272,3/15/75,34,14
GHCND:USC00124272,3/16/75,42,13
GHCND:USC00124272,3/17/75,43,34
GHCND:USC00124272,3/18/75,55,38
GHCND:USC00124272,3/19/75,60,40
GHCND:USC00124272,3/20/75,58,38
GHCND:USC00124272,3/21/75,64,39
GHCND:USC00124272,3/22/75,74,44
GHCND:USC00124272,3/23/75,54,41
GHCND:USC00124272,3/24/75,66,41
GHCND:USC00124272,3/25/75,60,30
GHCND:USC00124272,3/26/75,31,23
GHCND:USC00124272,3/27/75,39,23
GHCND:USC00124272,3/28/75,35,24
GHCND:USC00124272,3/29/75,49,34
GHCND:USC00124272,3/30/75,40,26
GHCND:USC00124272,3/31/75,31,15
GHCND:USC00124272,4/1/75,58,30
GHCND:USC00124272,4/2/75,63,37
GHCND:USC00124272,4/3/75,69,23
GHCND:USC00124272,4/4/75,39,23
GHCND:USC00124272,4/5/75,43,25
GHCND:USC00124272,4/6/75,46,29
GHCND:USC00124272,4/7/75,49,28
GHCND:USC00124272,4/8/75,52,29
GHCND:USC00124272,4/9/75,55,31
GHCND:USC00124272,4/10/75,53,34
GHCND:USC00124272,4/11/75,55,36
GHCND:USC00124272,4/12/75,50,29
GHCND:USC00124272,4/13/75,53,30
GHCND:USC00124272,4/14/75,55,33
GHCND:USC00124272,4/15/75,46,37
GHCND:USC00124272,4/16/75,51,34
GHCND:USC00124272,4/17/75,51,38
GHCND:USC00124272,4/18/75,78,49
GHCND:USC00124272,4/19/75,74,44
GHCND:USC00124272,4/20/75,57,39
GHCND:USC00124272,4/21/75,50,33
GHCND:USC00124272,4/22/75,57,34
GHCND:USC00124272,4/23/75,75,47
GHCND:USC00124272,4/24/75,65,47
GHCND:USC00124272,4/25/75,69,57
GHCND:USC00124272,4/26/75,59,43
GHCND:USC00124272,4/27/75,61,42
GHCND:USC00124272,4/28/75,56,37
GHCND:USC00124272,4/29/75,74,46
GHCND:USC00124272,4/30/75,77,52
GHCND:USC00124272,5/1/75,69,54
GHCND:USC00124272,5/2/75,64,43
GHCND:USC00124272,5/3/75,70,53
GHCND:USC00124272,5/4/75,64,50
GHCND:USC00124272,5/5/75,67,47
GHCND:USC00124272,5/6/75,79,49
GHCND:USC00124272,5/7/75,78,52
GHCND:USC00124272,5/8/75,68,49
GHCND:USC00124272,5/9/75,72,51
GHCND:USC00124272,5/10/75,76,50
GHCND:USC00124272,5/11/75,77,51
GHCND:USC00124272,5/12/75,78,54
GHCND:USC00124272,5/13/75,67,46
GHCND:USC00124272,5/14/75,71,47
GHCND:USC00124272,5/15/75,74,51
GHCND:USC00124272,5/16/75,74,48
GHCND:USC00124272,5/17/75,70,50
GHCND:USC00124272,5/18/75,78,52
GHCND:USC00124272,5/19/75,84,60
GHCND:USC00124272,5/20/75,86,62
GHCND:USC00124272,5/21/75,90,69
GHCND:USC00124272,5/22/75,88,64
GHCND:USC00124272,5/23/75,82,65
GHCND:USC00124272,5/24/75,86,67
GHCND:USC00124272,5/25/75,89,69
GHCND:USC00124272,5/26/75,88,62
GHCND:USC00124272,5/27/75,84,64
GHCND:USC00124272,5/28/75,76,57
GHCND:USC00124272,5/29/75,81,61
GHCND:USC00124272,5/30/75,80,64
GHCND:USC00124272,5/31/75,81,61
GHCND:USC00124272,6/1/75,65,55
GHCND:USC00124272,6/2/75,72,54
GHCND:USC00124272,6/3/75,69,52
GHCND:USC00124272,6/4/75,77,55
GHCND:USC00124272,6/5/75,84,60
GHCND:USC00124272,6/6/75,80,63
GHCND:USC00124272,6/7/75,85,54
GHCND:USC00124272,6/8/75,73,50
GHCND:USC00124272,6/9/75,72,52
GHCND:USC00124272,6/10/75,72,56
GHCND:USC00124272,6/11/75,81,61
GHCND:USC00124272,6/12/75,80,61
GHCND:USC00124272,6/13/75,78,61
GHCND:USC00124272,6/14/75,84,59
GHCND:USC00124272,6/15/75,82,59
GHCND:USC00124272,6/16/75,76,54
GHCND:USC00124272,6/17/75,80,59
GHCND:USC00124272,6/18/75,83,64
GHCND:USC00124272,6/19/75,90,69
GHCND:USC00124272,6/20/75,92,71
GHCND:USC00124272,6/21/75,92,70
GHCND:USC00124272,6/22/75,91,72
GHCND:USC00124272,6/23/75,89,71
GHCND:USC00124272,6/24/75,88,68
GHCND:USC00124272,6/25/75,87,69
GHCND:USC00124272,6/26/75,88,67
GHCND:USC00124272,6/27/75,82,66
GHCND:USC00124272,6/28/75,87,70
GHCND:USC00124272,6/29/75,89,69
GHCND:USC00124272,6/30/75,88,69
GHCND:USC00124272,7/1/75,89,69
GHCND:USC00124272,7/2/75,89,65
GHCND:USC00124272,7/3/75,92,66
GHCND:USC00124272,7/4/75,90,70
GHCND:USC00124272,7/5/75,89,64
GHCND:USC00124272,7/6/75,86,63
GHCND:USC00124272,7/7/75,84,65
GHCND:USC00124272,7/8/75,84,66
GHCND:USC00124272,7/9/75,89,67
GHCND:USC00124272,7/10/75,85,61
GHCND:USC00124272,7/11/75,79,58
GHCND:USC00124272,7/12/75,75,58
GHCND:USC00124272,7/13/75,79,59
GHCND:USC00124272,7/14/75,68,51
GHCND:USC00124272,7/15/75,79,54
GHCND:USC00124272,7/16/75,86,63
GHCND:USC00124272,7/17/75,87,66
GHCND:USC00124272,7/18/75,87,66
GHCND:USC00124272,7/19/75,82,66
GHCND:USC00124272,7/20/75,81,68
GHCND:USC00124272,7/21/75,82,66
GHCND:USC00124272,7/22/75,88,68
GHCND:USC00124272,7/23/75,88,67
GHCND:USC00124272,7/24/75,88,70
GHCND:USC00124272,7/25/75,88,65
GHCND:USC00124272,7/26/75,83,62
GHCND:USC00124272,7/27/75,85,61
GHCND:USC00124272,7/28/75,89,62
GHCND:USC00124272,7/29/75,89,66
GHCND:USC00124272,7/30/75,89,69
GHCND:USC00124272,7/31/75,91,70
GHCND:USC00124272,8/1/75,89,71
GHCND:USC00124272,8/2/75,88,73
GHCND:USC00124272,8/3/75,86,72
GHCND:USC00124272,8/4/75,81,69
GHCND:USC00124272,8/5/75,86,70
GHCND:USC00124272,8/6/75,86,63
GHCND:USC00124272,8/7/75,78,57
GHCND:USC00124272,8/8/75,77,56
GHCND:USC00124272,8/9/75,84,59
GHCND:USC00124272,8/10/75,87,65
GHCND:USC00124272,8/11/75,87,62
GHCND:USC00124272,8/12/75,88,66
GHCND:USC00124272,8/13/75,89,72
GHCND:USC00124272,8/14/75,89,68
GHCND:USC00124272,8/15/75,85,69
GHCND:USC00124272,8/16/75,85,68
GHCND:USC00124272,8/17/75,81,66
GHCND:USC00124272,8/18/75,84,65
GHCND:USC00124272,8/19/75,85,66
GHCND:USC00124272,8/20/75,86,68
GHCND:USC00124272,8/21/75,88,69
GHCND:USC00124272,8/22/75,90,70
GHCND:USC00124272,8/23/75,92,72
GHCND:USC00124272,8/24/75,92,72
GHCND:USC00124272,8/25/75,91,71
GHCND:USC00124272,8/26/75,89,69
GHCND:USC00124272,8/27/75,82,66
GHCND:USC00124272,8/28/75,88,66
GHCND:USC00124272,8/29/75,88,68
GHCND:USC00124272,8/30/75,89,67
GHCND:USC00124272,8/31/75,79,68
GHCND:USC00124272,9/1/75,71,63
GHCND:USC00124272,9/2/75,82,63
GHCND:USC00124272,9/3/75,88,64
GHCND:USC00124272,9/4/75,91,64
GHCND:USC00124272,9/5/75,84,66
GHCND:USC00124272,9/6/75,85,57
GHCND:USC00124272,9/7/75,76,51
GHCND:USC00124272,9/8/75,80,49
GHCND:USC00124272,9/9/75,83,56
GHCND:USC00124272,9/10/75,78,56
GHCND:USC00124272,9/11/75,86,55
GHCND:USC00124272,9/12/75,72,54
GHCND:USC00124272,9/13/75,66,40
GHCND:USC00124272,9/14/75,64,41
GHCND:USC00124272,9/15/75,67,42
GHCND:USC00124272,9/16/75,73,52
GHCND:USC00124272,9/17/75,66,59
GHCND:USC00124272,9/18/75,73,60
GHCND:USC00124272,9/19/75,71,60
GHCND:USC00124272,9/20/75,68,50
GHCND:USC00124272,9/21/75,67,44
GHCND:USC00124272,9/22/75,62,47
GHCND:USC00124272,9/23/75,58,47
GHCND:USC00124272,9/24/75,64,49
GHCND:USC00124272,9/25/75,62,46
GHCND:USC00124272,9/26/75,54,50
GHCND:USC00124272,9/27/75,59,46
GHCND:USC00124272,9/28/75,68,43
GHCND:USC00124272,9/29/75,71,43
GHCND:USC00124272,9/30/75,69,48
GHCND:USC00124272,10/1/75,73,51
GHCND:USC00124272,10/2/75,57,41
GHCND:USC00124272,10/3/75,56,33
GHCND:USC00124272,10/4/75,66,36
GHCND:USC00124272,10/5/75,72,38
GHCND:USC00124272,10/6/75,74,42
GHCND:USC00124272,10/7/75,77,48
GHCND:USC00124272,10/8/75,79,48
GHCND:USC00124272,10/9/75,60,54
GHCND:USC00124272,10/10/75,74,53
GHCND:USC00124272,10/11/75,76,46
GHCND:USC00124272,10/12/75,69,42
GHCND:USC00124272,10/13/75,74,47
GHCND:USC00124272,10/14/75,86,44
GHCND:USC00124272,10/15/75,83,52
GHCND:USC00124272,10/16/75,76,43
GHCND:USC00124272,10/17/75,61,43
GHCND:USC00124272,10/18/75,53,42
GHCND:USC00124272,10/19/75,45,43
GHCND:USC00124272,10/20/75,49,44
GHCND:USC00124272,10/21/75,66,43
GHCND:USC00124272,10/22/75,80,51
GHCND:USC00124272,10/23/75,78,53
GHCND:USC00124272,10/24/75,76,55
GHCND:USC00124272,10/25/75,70,46
GHCND:USC00124272,10/26/75,54,41
GHCND:USC00124272,10/27/75,58,35
GHCND:USC00124272,10/28/75,65,37
GHCND:USC00124272,10/29/75,67,51
GHCND:USC00124272,10/30/75,54,35
GHCND:USC00124272,10/31/75,52,35
GHCND:USC00124272,11/1/75,63,38
GHCND:USC00124272,11/2/75,64,49
GHCND:USC00124272,11/3/75,72,56
GHCND:USC00124272,11/4/75,65,57
GHCND:USC00124272,11/5/75,76,54
GHCND:USC00124272,11/6/75,77,56
GHCND:USC00124272,11/7/75,79,55
GHCND:USC00124272,11/8/75,69,56
GHCND:USC00124272,11/9/75,73,57
GHCND:USC00124272,11/10/75,75,47
GHCND:USC00124272,11/11/75,58,35
GHCND:USC00124272,11/12/75,60,31
GHCND:USC00124272,11/13/75,50,34
GHCND:USC00124272,11/14/75,36,31
GHCND:USC00124272,11/15/75,41,27
GHCND:USC00124272,11/16/75,56,29
GHCND:USC00124272,11/17/75,65,41
GHCND:USC00124272,11/18/75,67,35
GHCND:USC00124272,11/19/75,66,36
GHCND:USC00124272,11/20/75,69,43
GHCND:USC00124272,11/21/75,58,36
GHCND:USC00124272,11/22/75,37,34
GHCND:USC00124272,11/23/75,41,25
GHCND:USC00124272,11/24/75,44,24
GHCND:USC00124272,11/25/75,37,30
GHCND:USC00124272,11/26/75,35,28
GHCND:USC00124272,11/27/75,35,28
GHCND:USC00124272,11/28/75,30,22
GHCND:USC00124272,11/29/75,38,20
GHCND:USC00124272,11/30/75,65,35
GHCND:USC00124272,12/1/75,57,21
GHCND:USC00124272,12/2/75,32,19
GHCND:USC00124272,12/3/75,40,28
GHCND:USC00124272,12/4/75,39,31
GHCND:USC00124272,12/5/75,62,33
GHCND:USC00124272,12/6/75,62,42
GHCND:USC00124272,12/7/75,55,27
GHCND:USC00124272,12/8/75,39,26
GHCND:USC00124272,12/9/75,40,30
GHCND:USC00124272,12/10/75,34,28
GHCND:USC00124272,12/11/75,35,30
GHCND:USC00124272,12/12/75,49,30
GHCND:USC00124272,12/13/75,53,41
GHCND:USC00124272,12/14/75,66,51
GHCND:USC00124272,12/15/75,69,50
GHCND:USC00124272,12/16/75,50,28
GHCND:USC00124272,12/17/75,31,25
GHCND:USC00124272,12/18/75,28,8
GHCND:USC00124272,12/19/75,18,7
GHCND:USC00124272,12/20/75,36,15
GHCND:USC00124272,12/21/75,37,24
GHCND:USC00124272,12/22/75,28,13
GHCND:USC00124272,12/23/75,33,12
GHCND:USC00124272,12/24/75,36,22
GHCND:USC00124272,12/25/75,34,21
GHCND:USC00124272,12/26/75,36,28
GHCND:USC00124272,12/27/75,32,29
GHCND:USC00124272,12/28/75,31,25
GHCND:USC00124272,12/29/75,33,25
GHCND:USC00124272,12/30/75,40,32
GHCND:USC00124272,12/31/75,41,34
GHCND:USC00124272,1/1/76,36,29
GHCND:USC00124272,1/2/76,34,26
GHCND:USC00124272,1/3/76,42,27
GHCND:USC00124272,1/4/76,28,8
GHCND:USC00124272,1/5/76,13,6
GHCND:USC00124272,1/6/76,22,6
GHCND:USC00124272,1/7/76,41,9
GHCND:USC00124272,1/8/76,34,0
GHCND:USC00124272,1/9/76,12,-4
GHCND:USC00124272,1/10/76,17,0
GHCND:USC00124272,1/11/76,39,14
GHCND:USC00124272,1/12/76,40,25
GHCND:USC00124272,1/13/76,37,24
