STATION,DATE,TMAX,TMIN
GHCND:USW00012839,8/18/93,94,77
GHCND:USW00012839,8/19/93,94,79
GHCND:USW00012839,8/20/93,95,78
GHCND:USW00012839,8/21/93,97,80
GHCND:USW00012839,8/22/93,96,78
GHCND:USW00012839,8/23/93,94,77
GHCND:USW00012839,8/24/93,93,76
GHCND:USW00012839,8/25/93,87,74
GHCND:USW00012839,8/26/93,89,75
GHCND:USW00012839,8/27/93,91,75
GHCND:USW00012839,8/28/93,92,77
GHCND:USW00012839,8/29/93,87,77
GHCND:USW00012839,8/30/93,87,76
GHCND:USW00012839,8/31/93,91,75
GHCND:USW00012839,9/1/93,90,74
GHCND:USW00012839,9/2/93,87,74
GHCND:USW00012839,9/3/93,90,75
GHCND:USW00012839,9/4/93,91,79
GHCND:USW00012839,9/5/93,91,80
GHCND:USW00012839,9/6/93,92,76
GHCND:USW00012839,9/7/93,90,77
GHCND:USW00012839,9/8/93,89,78
GHCND:USW00012839,9/9/93,90,77
GHCND:USW00012839,9/10/93,93,76
GHCND:USW00012839,9/11/93,93,76
GHCND:USW00012839,9/12/93,89,76
GHCND:USW00012839,9/13/93,89,74
GHCND:USW00012839,9/14/93,84,75
GHCND:USW00012839,9/15/93,87,77
GHCND:USW00012839,9/16/93,89,76
GHCND:USW00012839,9/17/93,89,77
GHCND:USW00012839,9/18/93,90,80
GHCND:USW00012839,9/19/93,89,78
GHCND:USW00012839,9/20/93,88,79
GHCND:USW00012839,9/21/93,91,78
GHCND:USW00012839,9/22/93,89,78
GHCND:USW00012839,9/23/93,89,78
GHCND:USW00012839,9/24/93,91,76
GHCND:USW00012839,9/25/93,89,77
GHCND:USW00012839,9/26/93,91,77
GHCND:USW00012839,9/27/93,89,77
GHCND:USW00012839,9/28/93,87,76
GHCND:USW00012839,9/29/93,87,75
GHCND:USW00012839,9/30/93,86,75
GHCND:USW00012839,10/1/93,87,71
GHCND:USW00012839,10/2/93,88,77
GHCND:USW00012839,10/3/93,87,74
GHCND:USW00012839,10/4/93,85,74
GHCND:USW00012839,10/5/93,85,75
GHCND:USW00012839,10/6/93,88,74
GHCND:USW00012839,10/7/93,90,74
GHCND:USW00012839,10/8/93,90,74
GHCND:USW00012839,10/9/93,90,74
GHCND:USW00012839,10/10/93,90,73
GHCND:USW00012839,10/11/93,89,76
GHCND:USW00012839,10/12/93,87,74
GHCND:USW00012839,10/13/93,89,72
GHCND:USW00012839,10/14/93,86,73
GHCND:USW00012839,10/15/93,88,77
GHCND:USW00012839,10/16/93,82,71
GHCND:USW00012839,10/17/93,89,73
GHCND:USW00012839,10/18/93,90,74
GHCND:USW00012839,10/19/93,87,77
GHCND:USW00012839,10/20/93,87,78
GHCND:USW00012839,10/21/93,88,78
GHCND:USW00012839,10/22/93,86,77
GHCND:USW00012839,10/23/93,87,76
GHCND:USW00012839,10/24/93,86,74
GHCND:USW00012839,10/25/93,88,73
GHCND:USW00012839,10/26/93,88,74
GHCND:USW00012839,10/27/93,86,73
GHCND:USW00012839,10/28/93,88,73
GHCND:USW00012839,10/29/93,88,72
GHCND:USW00012839,10/30/93,90,80
GHCND:USW00012839,10/31/93,83,61
GHCND:USW00012839,11/1/93,69,52
GHCND:USW00012839,11/2/93,78,54
GHCND:USW00012839,11/3/93,83,70
GHCND:USW00012839,11/4/93,84,66
GHCND:USW00012839,11/5/93,86,70
GHCND:USW00012839,11/6/93,87,69
