STATION,DATE,TMAX,TMIN
GHCND:USW00094823,8/2/80,86,68
GHCND:USW00094823,8/3/80,80,67
GHCND:USW00094823,8/4/80,88,68
GHCND:USW00094823,8/5/80,88,67
GHCND:USW00094823,8/6/80,81,68
GHCND:USW00094823,8/7/80,89,65
GHCND:USW00094823,8/8/80,91,70
GHCND:USW00094823,8/9/80,86,70
GHCND:USW00094823,8/10/80,89,68
GHCND:USW00094823,8/11/80,87,68
GHCND:USW00094823,8/12/80,81,68
GHCND:USW00094823,8/13/80,84,63
GHCND:USW00094823,8/14/80,84,68
GHCND:USW00094823,8/15/80,73,61
GHCND:USW00094823,8/16/80,72,55
GHCND:USW00094823,8/17/80,66,55
GHCND:USW00094823,8/18/80,78,60
GHCND:USW00094823,8/19/80,84,68
GHCND:USW00094823,8/20/80,78,68
GHCND:USW00094823,8/21/80,82,68
GHCND:USW00094823,8/22/80,72,66
GHCND:USW00094823,8/23/80,80,66
GHCND:USW00094823,8/24/80,85,64
GHCND:USW00094823,8/25/80,88,63
GHCND:USW00094823,8/26/80,85,63
GHCND:USW00094823,8/27/80,89,66
GHCND:USW00094823,8/28/80,88,70
GHCND:USW00094823,8/29/80,89,69
GHCND:USW00094823,8/30/80,83,65
GHCND:USW00094823,8/31/80,86,61
GHCND:USW00094823,9/1/80,90,65
GHCND:USW00094823,9/2/80,85,66
GHCND:USW00094823,9/3/80,85,59
GHCND:USW00094823,9/4/80,87,57
GHCND:USW00094823,9/5/80,84,60
GHCND:USW00094823,9/6/80,86,63
GHCND:USW00094823,9/7/80,80,58
GHCND:USW00094823,9/8/80,81,59
GHCND:USW00094823,9/9/80,80,61
GHCND:USW00094823,9/10/80,71,54
GHCND:USW00094823,9/11/80,76,50
GHCND:USW00094823,9/12/80,83,55
GHCND:USW00094823,9/13/80,86,64
GHCND:USW00094823,9/14/80,83,63
GHCND:USW00094823,9/15/80,69,59
GHCND:USW00094823,9/16/80,76,56
GHCND:USW00094823,9/17/80,74,58
GHCND:USW00094823,9/18/80,71,55
GHCND:USW00094823,9/19/80,79,52
GHCND:USW00094823,9/20/80,85,56
GHCND:USW00094823,9/21/80,83,66
GHCND:USW00094823,9/22/80,80,63
GHCND:USW00094823,9/23/80,69,52
GHCND:USW00094823,9/24/80,71,49
GHCND:USW00094823,9/25/80,75,49
GHCND:USW00094823,9/26/80,64,45
GHCND:USW00094823,9/27/80,66,41
GHCND:USW00094823,9/28/80,71,49
GHCND:USW00094823,9/29/80,77,49
GHCND:USW00094823,9/30/80,77,51
GHCND:USW00094823,10/1/80,78,51
GHCND:USW00094823,10/2/80,62,50
GHCND:USW00094823,10/3/80,63,45
GHCND:USW00094823,10/4/80,55,41
GHCND:USW00094823,10/5/80,55,41
GHCND:USW00094823,10/6/80,59,35
GHCND:USW00094823,10/7/80,64,46
GHCND:USW00094823,10/8/80,73,48
GHCND:USW00094823,10/9/80,70,48
GHCND:USW00094823,10/10/80,75,43
GHCND:USW00094823,10/11/80,62,45
GHCND:USW00094823,10/12/80,45,41
GHCND:USW00094823,10/13/80,46,40
GHCND:USW00094823,10/14/80,50,36
GHCND:USW00094823,10/15/80,70,45
GHCND:USW00094823,10/16/80,75,52
GHCND:USW00094823,10/17/80,77,51
GHCND:USW00094823,10/18/80,70,52
GHCND:USW00094823,10/19/80,60,38
GHCND:USW00094823,10/20/80,51,36
GHCND:USW00094823,10/21/80,63,43
GHCND:USW00094823,10/22/80,54,37
GHCND:USW00094823,10/23/80,53,31
GHCND:USW00094823,10/24/80,61,37
GHCND:USW00094823,10/25/80,50,34
GHCND:USW00094823,10/26/80,37,34
GHCND:USW00094823,10/27/80,46,30
GHCND:USW00094823,10/28/80,42,36
GHCND:USW00094823,10/29/80,46,27
GHCND:USW00094823,10/30/80,49,24
GHCND:USW00094823,10/31/80,56,33
GHCND:USW00094823,11/1/80,51,36
GHCND:USW00094823,11/2/80,48,31
GHCND:USW00094823,11/3/80,69,31
GHCND:USW00094823,11/4/80,58,40
GHCND:USW00094823,11/5/80,46,31
GHCND:USW00094823,11/6/80,50,28
GHCND:USW00094823,11/7/80,70,48
GHCND:USW00094823,11/8/80,56,37
GHCND:USW00094823,11/9/80,66,38
GHCND:USW00094823,11/10/80,48,32
GHCND:USW00094823,11/11/80,35,31
GHCND:USW00094823,11/12/80,45,31
GHCND:USW00094823,11/13/80,60,29
GHCND:USW00094823,11/14/80,59,40
GHCND:USW00094823,11/15/80,40,35
GHCND:USW00094823,11/16/80,43,28
GHCND:USW00094823,11/17/80,31,26
GHCND:USW00094823,11/18/80,34,28
GHCND:USW00094823,11/19/80,33,20
GHCND:USW00094823,11/20/80,39,17
GHCND:USW00094823,11/21/80,38,23
GHCND:USW00094823,11/22/80,41,25
