STATION,DATE,TMAX,TMIN
GHCND:USW00013743,5/6/98,73,56
GHCND:USW00013743,5/7/98,73,57
GHCND:USW00013743,5/8/98,70,60
GHCND:USW00013743,5/9/98,69,57
GHCND:USW00013743,5/10/98,65,57
GHCND:USW00013743,5/11/98,57,53
GHCND:USW00013743,5/12/98,55,52
GHCND:USW00013743,5/13/98,70,52
GHCND:USW00013743,5/14/98,78,50
GHCND:USW00013743,5/15/98,86,54
GHCND:USW00013743,5/16/98,86,60
GHCND:USW00013743,5/17/98,86,66
GHCND:USW00013743,5/18/98,85,62
GHCND:USW00013743,5/19/98,91,67
GHCND:USW00013743,5/20/98,88,70
GHCND:USW00013743,5/21/98,84,65
GHCND:USW00013743,5/22/98,73,55
GHCND:USW00013743,5/23/98,68,57
GHCND:USW00013743,5/24/98,71,53
GHCND:USW00013743,5/25/98,86,61
GHCND:USW00013743,5/26/98,77,66
GHCND:USW00013743,5/27/98,70,63
GHCND:USW00013743,5/28/98,80,58
GHCND:USW00013743,5/29/98,85,65
GHCND:USW00013743,5/30/98,90,68
GHCND:USW00013743,5/31/98,89,71
GHCND:USW00013743,6/1/98,80,65
GHCND:USW00013743,6/2/98,83,59
GHCND:USW00013743,6/3/98,80,59
GHCND:USW00013743,6/4/98,72,58
GHCND:USW00013743,6/5/98,72,57
GHCND:USW00013743,6/6/98,72,55
GHCND:USW00013743,6/7/98,70,52
GHCND:USW00013743,6/8/98,76,57
GHCND:USW00013743,6/9/98,74,54
GHCND:USW00013743,6/10/98,63,57
GHCND:USW00013743,6/11/98,69,61
GHCND:USW00013743,6/12/98,81,65
GHCND:USW00013743,6/13/98,82,63
GHCND:USW00013743,6/14/98,82,62
GHCND:USW00013743,6/15/98,83,64
GHCND:USW00013743,6/16/98,87,66
GHCND:USW00013743,6/17/98,84,65
GHCND:USW00013743,6/18/98,87,69
GHCND:USW00013743,6/19/98,79,69
GHCND:USW00013743,6/20/98,89,71
GHCND:USW00013743,6/21/98,89,70
GHCND:USW00013743,6/22/98,83,72
GHCND:USW00013743,6/23/98,86,72
GHCND:USW00013743,6/24/98,87,72
GHCND:USW00013743,6/25/98,90,73
GHCND:USW00013743,6/26/98,95,75
GHCND:USW00013743,6/27/98,88,76
GHCND:USW00013743,6/28/98,77,68
GHCND:USW00013743,6/29/98,84,69
GHCND:USW00013743,6/30/98,90,68
GHCND:USW00013743,7/1/98,85,66
GHCND:USW00013743,7/2/98,85,65
GHCND:USW00013743,7/3/98,87,64
GHCND:USW00013743,7/4/98,86,71
GHCND:USW00013743,7/5/98,87,70
GHCND:USW00013743,7/6/98,86,65
GHCND:USW00013743,7/7/98,89,67
GHCND:USW00013743,7/8/98,77,67
GHCND:USW00013743,7/9/98,85,65
GHCND:USW00013743,7/10/98,88,71
GHCND:USW00013743,7/11/98,81,64
GHCND:USW00013743,7/12/98,84,62
GHCND:USW00013743,7/13/98,86,67
GHCND:USW00013743,7/14/98,86,70
GHCND:USW00013743,7/15/98,84,73
GHCND:USW00013743,7/16/98,91,73
GHCND:USW00013743,7/17/98,92,76
GHCND:USW00013743,7/18/98,88,73
GHCND:USW00013743,7/19/98,89,70
GHCND:USW00013743,7/20/98,96,74
GHCND:USW00013743,7/21/98,96,73
GHCND:USW00013743,7/22/98,97,75
GHCND:USW00013743,7/23/98,93,74
GHCND:USW00013743,7/24/98,89,73
GHCND:USW00013743,7/25/98,86,74
GHCND:USW00013743,7/26/98,82,70
GHCND:USW00013743,7/27/98,86,67
GHCND:USW00013743,7/28/98,91,71
GHCND:USW00013743,7/29/98,95,74
GHCND:USW00013743,7/30/98,94,74
GHCND:USW00013743,7/31/98,83,69
GHCND:USW00013743,8/1/98,84,65
GHCND:USW00013743,8/2/98,84,63
GHCND:USW00013743,8/3/98,88,62
GHCND:USW00013743,8/4/98,89,67
GHCND:USW00013743,8/5/98,89,66
GHCND:USW00013743,8/6/98,87,66
GHCND:USW00013743,8/7/98,88,69
GHCND:USW00013743,8/8/98,87,73
GHCND:USW00013743,8/9/98,89,73
GHCND:USW00013743,8/10/98,88,74
GHCND:USW00013743,8/11/98,91,71
GHCND:USW00013743,8/12/98,89,72
GHCND:USW00013743,8/13/98,88,69
GHCND:USW00013743,8/14/98,86,73
GHCND:USW00013743,8/15/98,87,72
GHCND:USW00013743,8/16/98,82,73
GHCND:USW00013743,8/17/98,88,73
GHCND:USW00013743,8/18/98,92,71
GHCND:USW00013743,8/19/98,77,61
GHCND:USW00013743,8/20/98,82,57
GHCND:USW00013743,8/21/98,89,62
